"Animal ID","CaptureDate","Sex","Collar Freq","Mass (g)","Length Total (cm)","Length Tail (cm)","Circumference Neck (cm)","Hole2Hole (cm)"
"SG-001",10/12/2017 0:00:00,"M",150.91,550,41.00,9.50,,
"SG-001",9/9/2018 0:00:00,"M",150.63,660,41.20,12.20,13.80,
"SG-001",10/10/2018 0:00:00,"M",151.58,575,,,,
"SG-002",10/12/2017 0:00:00,"M",150.71,760,42.00,9.50,,
"SG-003",10/12/2017 0:00:00,"M",150.75,565,40.00,10.00,,
"SG-003",3/23/2018 0:00:00,"M",150.73,475,41.50,13.50,,
"SG-004",10/13/2017 0:00:00,"M",150.81,675,43.50,13.00,12.00,
"SG-005",10/14/2017 0:00:00,"F",150.69,385,38.00,13.00,9.00,
"SG-006",10/18/2017 0:00:00,"M",150.85,615,46.00,15.00,11.50,
"SG-006",4/20/2018 0:00:00,"M",150.22,725,45.40,12.90,12.30,
"SG-006",8/28/2018 0:00:00,"M",150.65,725,30.90,13.50,12.30,
"SG-006",4/19/2019 0:00:00,"M",150.77,755,47.50,15.50,12.30,5.50
"SG-006",8/21/2019 0:00:00,"M",,855,45.80,14.80,13.00,5.50
"SG-007",10/25/2017 0:00:00,"F",150.77,365,37.00,11.50,9.50,
"SG-008",9/26/2018 0:00:00,"F",150.20,475,41.00,13.50,10.10,
"SG-008",4/26/2019 0:00:00,"F",150.45,435,37.70,10.70,10.30,1.30
"SG-009",3/25/2018 0:00:00,"F",150.89,325,36.00,11.00,8.00,
"SG-009",9/15/2018 0:00:00,"F",150.32,395,39.50,15.50,9.00,
"SG-009",4/12/2019 0:00:00,"F",150.55,375,36.00,10.00,8.50,
"SG-010",4/16/2018 0:00:00,"M",150.87,390,38.50,12.00,9.00,
"SG-010",9/30/2018 0:00:00,"M",150.42,640,40.00,11.00,12.00,
"SG-010",10/8/2018 0:00:00,"M",151.52,595,,,,
"SG-011",4/18/2018 0:00:00,"M",150.83,555,44.00,12.00,9.70,
"SG-011",8/29/2018 0:00:00,"M",150.48,625,43.50,13.50,13.00,
"SG-011",10/10/2018 0:00:00,"M",151.50,615,,,,
"SG-011",12/3/2018 0:00:00,"M",150.40,615,44.20,12.70,12.00,4.30
"SG-011",4/18/2019 0:00:00,"M",150.59,580,42.00,12.00,9.80,
"SG-011",8/22/2019 0:00:00,"M",,680,43.80,13.70,11.70,3.50
"SG-012",9/5/2018 0:00:00,"M",150.34,585,44.00,13.50,11.80,
"SG-013",9/8/2018 0:00:00,"M",150.26,610,44.30,12.30,9.00,
"SG-014",9/16/2018 0:00:00,"M",150.46,495,43.00,12.50,12.50,
"SG-015",9/17/2018 0:00:00,"F",150.79,405,36.50,12.50,9.50,
"SG-015",5/3/2019 0:00:00,"F",150.49,385,36.50,10.50,9.00,1.00
"SG-015",7/12/2019 0:00:00,"F",150.18,415,38.50,12.40,10.00,1.20
"SG-015",8/21/2019 0:00:00,"F",,390,38.30,13.50,9.80,1.00
"SG-016",9/18/2018 0:00:00,"F",150.38,445,40.30,11.30,11.50,
"SG-017",9/27/2018 0:00:00,"F",150.28,345,39.25,13.50,8.80,
"SG-018",10/3/2018 0:00:00,"F",150.24,445,36.50,10.50,11.00,
"SG-019",10/6/2018 0:00:00,"M",150.40,755,42.50,10.50,13.50,
"SG-019",10/15/2018 0:00:00,"M",151.54,755,,,11.50,
"SG-019",12/12/2018 0:00:00,"M",150.42,640,45.20,10.20,11.20,
"SG-020",10/10/2018 0:00:00,"F",150.30,395,40.00,12.50,9.50,
"SG-021",10/11/2018 0:00:00,"M",150.42,545,43.30,12.80,10.50,
"SG-022",10/19/2018 0:00:00,"M",150.36,685,43.00,14.00,9.10,
"SG-023",4/23/2019 0:00:00,"M",150.53,625,47.00,15.00,11.00,5.50
"SG-024",4/24/2019 0:00:00,"M",150.47,555,39.50,13.50,11.20,5.00
"SG-025",7/4/2019 0:00:00,"M",150.48,685,42.30,14.30,12.20,5.00
"SG-026",8/20/2019 0:00:00,"M",,455,40.30,12.90,10.30,3.60
"SG-027",8/20/2019 0:00:00,"F",,355,35.70,10.70,9.60,
"SG-028",8/20/2019 0:00:00,"M",,415,39.10,13.60,10.50,4.00
"SG-029",8/23/2019 0:00:00,"F",,350,35.40,10.20,8.70,1.30
"SG-030",8/23/2019 0:00:00,"M",,500,38.50,10.90,10.60,4.00
"SG-031",8/27/2019 0:00:00,"F",,405,35.70,12.40,11.20,0.60
