"individual.local.identifier","location.long","location.lat","timestamp","HDOP"
"SG-019",-122.21202,44.26592,"2018-10-16 00:00:00",7.7
"SG-019",-122.20304,44.27982,"2018-10-16 02:00:00",10.2
"SG-019",-122.1885,44.28697,"2018-10-16 03:30:00",13.1
"SG-019",-122.24186,44.28406,"2018-10-17 01:30:00",6.3
"SG-019",-122.24909,44.27219,"2018-10-17 04:00:00",6.6
"SG-019",-122.25384,44.27242,"2018-10-17 06:00:00",8.6
"SG-019",-122.25344,44.26918,"2018-10-17 06:30:00",1.8
"SG-019",-122.25084,44.27456,"2018-10-17 21:30:00",6.3
"SG-019",-122.24055,44.27342,"2018-10-17 22:30:00",11.6
"SG-019",-122.22982,44.27205,"2018-10-17 23:30:00",4.7
"SG-019",-122.22652,44.26959,"2018-10-18 04:30:00",4.1
"SG-019",-122.22979,44.2748,"2018-10-18 23:30:00",2
"SG-019",-122.23201,44.26985,"2018-10-20 02:00:00",4.8
"SG-019",-122.22858,44.27963,"2018-10-20 05:00:00",4
"SG-019",-122.23174,44.26658,"2018-10-21 22:30:00",8.2
"SG-019",-122.23164,44.264,"2018-10-21 23:00:00",2.4
"SG-019",-122.22715,44.26869,"2018-10-22 00:00:00",1.9
"SG-019",-122.22934,44.27033,"2018-10-22 00:30:00",4.3
"SG-019",-122.23466,44.28016,"2018-10-22 21:00:00",6.9
"SG-019",-122.23304,44.28291,"2018-10-22 21:30:00",1.9
"SG-019",-122.23306,44.28219,"2018-10-22 22:00:00",3.4
"SG-019",-122.23299,44.28114,"2018-10-22 23:00:00",3.3
"SG-019",-122.23421,44.28304,"2018-10-22 23:30:00",1.9
"SG-019",-122.24494,44.28208,"2018-10-23 22:00:00",14.5
"SG-019",-122.24938,44.27124,"2018-10-23 23:30:00",3.9
"SG-019",-122.24753,44.27444,"2018-10-24 03:00:00",2
"SG-019",-122.2423,44.27578,"2018-10-24 05:30:00",6.3
"SG-019",-122.23362,44.27646,"2018-10-24 07:00:00",4.7
"SG-019",-122.23297,44.27848,"2018-10-24 22:00:00",3.5
"SG-019",-122.22829,44.28467,"2018-10-24 23:00:00",1.8
"SG-019",-122.23275,44.28564,"2018-10-24 23:30:00",7.2
"SG-019",-122.23342,44.2812,"2018-10-25 00:00:00",3.8
"SG-019",-122.22963,44.2812,"2018-10-25 05:00:00",4.7
"SG-019",-122.22906,44.28028,"2018-10-25 05:30:00",2.3
"SG-019",-122.23955,44.27461,"2018-10-25 22:30:00",6.1
"SG-019",-122.25168,44.27323,"2018-10-25 23:30:00",3.1
"SG-019",-122.2535,44.26779,"2018-10-26 00:00:00",9.1
"SG-019",-122.2542,44.26788,"2018-10-26 02:30:00",11.8
"SG-019",-122.23258,44.25993,"2018-10-26 23:00:00",4.1
"SG-019",-122.22977,44.26272,"2018-10-26 23:30:00",2.5
"SG-019",-122.22609,44.2719,"2018-10-27 04:30:00",6.8
"SG-019",-122.22559,44.28023,"2018-10-27 21:00:00",3
"SG-019",-122.22191,44.27478,"2018-10-27 22:00:00",18.6
"SG-019",-122.20175,44.28769,"2018-10-28 03:30:00",3
"SG-019",-122.20314,44.28839,"2018-10-28 07:30:00",4.2
"SG-019",-122.19347,44.29254,"2018-10-30 03:00:00",6.8
"SG-019",-122.18863,44.2888,"2018-10-30 05:00:00",8.7
"SG-019",-122.1906,44.28651,"2018-10-30 05:30:00",10.8
"SG-019",-122.19901,44.27675,"2018-11-01 02:30:00",5.1
"SG-019",-122.20145,44.28252,"2018-11-02 00:30:00",2.2
"SG-019",-122.20481,44.28399,"2018-11-02 01:30:00",8.9
"SG-019",-122.20723,44.28521,"2018-11-02 02:00:00",9.3
"SG-019",-122.2059,44.28642,"2018-11-02 03:00:00",2.3
"SG-019",-122.20099,44.28766,"2018-11-02 04:00:00",2.6
"SG-019",-122.20025,44.2871,"2018-11-02 04:30:00",3.2
"SG-019",-122.20635,44.28619,"2018-11-03 05:00:00",4.2
"SG-019",-122.20339,44.29662,"2018-11-03 21:00:00",13.3
"SG-019",-122.20697,44.29344,"2018-11-03 22:00:00",2.2
"SG-019",-122.19982,44.30258,"2018-11-03 23:30:00",2.8
"SG-019",-122.19368,44.30121,"2018-11-04 01:00:00",2
"SG-019",-122.19394,44.29495,"2018-11-04 02:00:00",6.4
"SG-019",-122.19747,44.29014,"2018-11-04 04:30:00",7.8
"SG-019",-122.18697,44.29027,"2018-11-04 21:00:00",2.2
"SG-019",-122.18475,44.29055,"2018-11-04 21:30:00",2
"SG-019",-122.20038,44.28857,"2018-11-05 21:00:00",2.4
"SG-019",-122.19837,44.29196,"2018-11-05 22:30:00",3.9
"SG-019",-122.19991,44.28246,"2018-11-06 20:00:00",12.3
"SG-019",-122.20432,44.28535,"2018-11-06 21:30:00",6
"SG-019",-122.21327,44.28868,"2018-11-07 05:30:00",2.7
"SG-019",-122.1964,44.29544,"2018-11-11 00:30:00",2.3
"SG-019",-122.19607,44.30714,"2018-11-11 02:00:00",3.5
"SG-019",-122.20499,44.28728,"2018-11-11 04:30:00",9.5
"SG-019",-122.19266,44.27852,"2018-11-11 22:30:00",2.1
"SG-019",-122.20238,44.28013,"2018-11-13 00:30:00",19.4
"SG-019",-122.2077,44.28599,"2018-11-14 02:30:00",4.1
"SG-019",-122.19942,44.27857,"2018-11-14 06:00:00",3.7
"SG-019",-122.20327,44.27858,"2018-11-14 21:30:00",3.6
"SG-019",-122.20053,44.27908,"2018-11-15 01:00:00",6.1
"SG-019",-122.2058,44.27808,"2018-11-15 01:30:00",3.5
"SG-019",-122.20523,44.27757,"2018-11-15 02:00:00",6.5
"SG-019",-122.20855,44.27836,"2018-11-15 04:00:00",5.4
"SG-019",-122.20705,44.27984,"2018-11-15 05:00:00",3.1
"SG-019",-122.20599,44.27917,"2018-11-15 05:30:00",3.1
"SG-019",-122.20469,44.28195,"2018-11-15 06:30:00",2.2
"SG-019",-122.19964,44.28002,"2018-11-15 20:00:00",6.2
"SG-019",-122.2058,44.28387,"2018-11-16 01:00:00",1.8
"SG-019",-122.20625,44.28498,"2018-11-16 02:00:00",3.9
"SG-019",-122.20882,44.28612,"2018-11-16 02:30:00",4.2
"SG-019",-122.20474,44.29141,"2018-11-16 04:30:00",10.1
"SG-019",-122.2054,44.29252,"2018-11-16 05:00:00",2.4
"SG-019",-122.20463,44.29358,"2018-11-16 05:30:00",1.7
"SG-019",-122.19954,44.29399,"2018-11-16 06:30:00",1.5
"SG-019",-122.20046,44.29394,"2018-11-17 00:00:00",1.9
"SG-019",-122.1995,44.29458,"2018-11-17 02:00:00",3
"SG-019",-122.1991,44.29362,"2018-11-17 04:30:00",5.1
"SG-019",-122.19846,44.29271,"2018-11-17 05:00:00",4.3
"SG-019",-122.20372,44.2929,"2018-11-17 20:00:00",2.7
"SG-019",-122.20029,44.29468,"2018-11-17 21:00:00",2
"SG-019",-122.18614,44.28796,"2018-11-18 02:30:00",5.1
"SG-019",-122.20225,44.27947,"2018-11-18 21:00:00",5.5
