"animal","low","est","high","size","sex","Capture","RestSite","Telemetry","GPS","total","cluster","group","title","logging","mature","o80","oldgrowth","e.mean","e.sd","e.min","e.max","mass","mass.min","mass.max","length.total","totalpix","sex.m"
"SG-001",9.28992554106048,11.8279178095113,14.6677690868873,"homerange","M",3,12,70,0,85,2,"M2","homerange M2",7974,3854,8238,4384,2246.34356842801,622.275303889249,1207.08557128906,3814.70385742188,595,550,660,41.1,15031,1
"SG-001_2",7.64404183753697,10.5698549965562,13.9624037189646,"homerange","M",8,24,60,0,92,2,"M2","homerange M2",3939,2154,9158,7004,2179.47181004405,371.161514439614,1443.02465820312,3376.91528320312,595,550,660,41.1,12352,1
"SG-002",14.9491917712327,33.8472226047007,60.3348376214638,"homerange","M",1,2,17,0,20,1,"M1","homerange M1",8475,5342,25310,19968,3140.19035766991,706.536159589829,1706.76306152344,5198.19775390625,760,760,760,42,36113,1
"SG-003",16.1967614768051,22.9227297355695,30.7984679230977,"homerange","M",9,3,36,0,48,2,"M2","homerange M2",13087,5790,23930,18140,2571.13341303246,669.88495814309,1393.39099121094,4562.85400390625,520,475,565,40.75,36762,1
"SG-004",7.49151476805248,12.4590934933922,18.6696197885661,"homerange","M",1,2,18,0,21,2,"M2","homerange M2",6594,2166,12775,10609,2854.26449078812,701.535406399609,1693.15686035156,4562.85400390625,675,675,675,43.5,19424,1
"SG-005",8.45271077639976,11.2164735553006,14.365165900649,"homerange","F",2,5,51,0,58,2,"F1","homerange F1",7393,3652,12475,8823,2541.22512180612,636.251314628649,1396.11096191406,4538.15869140625,385,385,385,38,18349,0
"SG-006",31.5604517211098,37.1324331403297,43.1506975880345,"homerange","M",14,28,124,0,166,1,"M1","homerange M1",17237,10445,28664,18219,2329.51729565476,798.249525506796,1213.18981933594,4545.5712890625,735,615,855,43.12,47136,1
"SG-007",9.89173544590576,18.9915823276146,31.0098453219194,"homerange","F",1,5,24,0,30,2,"F1","homerange F1",9344,4812,14238,9426,2569.16625538563,654.058476458422,1272.75012207031,4538.15869140625,365,365,365,37,21450,0
"SG-008",6.90666462185329,8.26521117561028,9.74392384067477,"homerange","F",11,19,109,0,139,2,"F1","homerange F1",5174,1452,5867,4415,2618.88815927678,322.690583131926,1852.51843261719,3588.9853515625,455,435,475,39.35,9888,0
"SG-009",7.30816116234883,8.72550602427929,10.2666068466875,"homerange","F",15,56,148,0,219,2,"F1","homerange F1",3274,1621,7882,6261,2243.2783985486,447.002918225162,1462.27233886719,3532.59252929688,365,325,395,37.1666666666667,10446,0
"SG-010",7.7205189755672,12.6673873349897,18.8191534008911,"homerange","M",12,33,55,0,100,2,"M2","homerange M2",9751,2874,10810,7936,2556.4030793117,421.749497425665,1761.43017578125,4218.69287109375,541.666666666667,390,640,39.25,18508,1
"SG-011",24.9330708198777,35.3798166349652,47.6258767918103,"homerange","M",18,29,65,2,114,1,"M1","homerange M1",15322,7878,22848,14970,2216.74356360783,550.284909206971,1328.39855957031,4535.99462890625,611.666666666667,555,680,43.5,37532,1
"SG-012",5.13500901785481,12.9567104517446,24.3351004526725,"homerange","M",1,2,10,0,13,2,"M2","homerange M2",10113,8185,27015,18830,3047.1729039744,847.068134224048,1376.12829589844,5198.19775390625,585,585,585,44,40703,1
"SG-013",16.1468862653411,27.4445496382999,41.6897352843364,"homerange","M",9,5,28,0,42,1,"M1","homerange M1",7821,4648,19531,14883,2995.28149982664,753.524782196887,1571.78857421875,4562.85400390625,610,610,610,44.3,29097,1
