"animal1","animal2","overlap.low","overlap","overlap.high","s1","s2","sexes","animals"
"2","SG-001","SG-001_2",0.034138395874251,0.0688574526306844,0.128116127497807,"M","M","MM","SG-001.SG-001_2"
"3","SG-001","SG-002",0.0454805314089141,0.169508416161173,0.440065515360774,"M","M","MM","SG-001.SG-002"
"4","SG-001","SG-003",0.0680381020613647,0.121992388846318,0.203809756869407,"M","M","MM","SG-001.SG-003"
"5","SG-001","SG-004",0.0852319962358742,0.159209110462342,0.271688462555567,"M","M","MM","SG-001.SG-004"
"6","SG-001","SG-005",0.391626809386192,0.497671734097018,0.610698872793324,"M","F","MF","SG-001.SG-005"
"7","SG-001","SG-006",0.701539093452348,0.771399992661064,0.835899385830684,"M","M","MM","SG-001.SG-006"
"8","SG-001","SG-007",0.641273096910013,0.836734703261109,0.967719789483663,"M","F","MF","SG-001.SG-007"
"9","SG-001","SG-008",0,0,0,"M","F","MF","SG-001.SG-008"
"10","SG-001","SG-009",0.0606134100104455,0.0984373850097799,0.152756296851005,"M","F","MF","SG-001.SG-009"
"11","SG-001","SG-010",0.000214163387416518,0.00189850079121924,0.0121930776509131,"M","M","MM","SG-001.SG-010"
"12","SG-001","SG-011",0.315175272180177,0.43044944980842,0.560058212056527,"M","M","MM","SG-001.SG-011"
"13","SG-001","SG-012",0.0822658418781146,0.200668919806541,0.402795478965103,"M","M","MM","SG-001.SG-012"
"14","SG-001","SG-013",0.0572064122400374,0.134935986101036,0.273578774156714,"M","M","MM","SG-001.SG-013"
"15","SG-001","SG-014",0.259355114049774,0.39502368165452,0.556644553397866,"M","M","MM","SG-001.SG-014"
"16","SG-001","SG-015",0,0,0,"M","F","MF","SG-001.SG-015"
"17","SG-001","SG-016",0.573785544931968,0.763446610801978,0.91702576198611,"M","F","MF","SG-001.SG-016"
"18","SG-001","SG-017",0,0,0,"M","F","MF","SG-001.SG-017"
"19","SG-001","SG-018",0,0,0,"M","F","MF","SG-001.SG-018"
"20","SG-001","SG-019",0,0,0,"M","M","MM","SG-001.SG-019"
"21","SG-001","SG-020",0,0,0,"M","F","MF","SG-001.SG-020"
"22","SG-001","SG-021",0.0253045091850801,0.0832732477814361,0.217573436604675,"M","M","MM","SG-001.SG-021"
"23","SG-001","SG-022",0,0,0,"M","M","MM","SG-001.SG-022"
"24","SG-001","SG-023",0.0475906076850172,0.2674235665923,0.733583263409356,"M","M","MM","SG-001.SG-023"
"25","SG-001","SG-025",0,0,0,"M","M","MM","SG-001.SG-025"
"26","SG-001_2","SG-001",0.034138395874251,0.0688574526306844,0.128116127497807,"M","M","MM","SG-001_2.SG-001"
"28","SG-001_2","SG-002",0.157835860625778,0.362100785039192,0.649592699654947,"M","M","MM","SG-001_2.SG-002"
"29","SG-001_2","SG-003",0.689347851160107,0.779779447512247,0.860682854814078,"M","M","MM","SG-001_2.SG-003"
"30","SG-001_2","SG-004",0.235673857343785,0.41658912764722,0.639292124065346,"M","M","MM","SG-001_2.SG-004"
"31","SG-001_2","SG-005",0.344898524771115,0.469521260628776,0.606667246870368,"M","F","MF","SG-001_2.SG-005"
"32","SG-001_2","SG-006",0.367923071827188,0.456562753953343,0.552052267634766,"M","M","MM","SG-001_2.SG-006"
"33","SG-001_2","SG-007",0.230967115456749,0.428618018594209,0.672465264911379,"M","F","MF","SG-001_2.SG-007"
"34","SG-001_2","SG-008",0.0250885574001771,0.0619759632763403,0.13499496332329,"M","F","MF","SG-001_2.SG-008"
"35","SG-001_2","SG-009",0.888264489298151,0.954327044252229,0.991908410516541,"M","F","MF","SG-001_2.SG-009"
"36","SG-001_2","SG-010",0.0715531829813303,0.230471498539075,0.528456251352014,"M","M","MM","SG-001_2.SG-010"
"37","SG-001_2","SG-011",0.525676928175297,0.653444537189969,0.776938399532437,"M","M","MM","SG-001_2.SG-011"
"38","SG-001_2","SG-012",0.0413736536589449,0.187143062854994,0.523444869542275,"M","M","MM","SG-001_2.SG-012"
"39","SG-001_2","SG-013",0.165395489366555,0.386926360526192,0.691367954576862,"M","M","MM","SG-001_2.SG-013"
"40","SG-001_2","SG-014",0.496469746450996,0.688226072147757,0.861762197581051,"M","M","MM","SG-001_2.SG-014"
"41","SG-001_2","SG-015",1.22594630550926e-05,6.34609811877509e-05,0.000289175236118153,"M","F","MF","SG-001_2.SG-015"
"42","SG-001_2","SG-016",0.330788195311061,0.507016349708825,0.700946656752978,"M","F","MF","SG-001_2.SG-016"
"43","SG-001_2","SG-017",2.13833798806353e-05,0.00042334463489027,0.00518547101924905,"M","F","MF","SG-001_2.SG-017"
"44","SG-001_2","SG-018",1.0649180169468e-05,0.000169934626761421,0.00185602445785584,"M","F","MF","SG-001_2.SG-018"
"45","SG-001_2","SG-019",0.000533065877780002,0.00239245765394307,0.00910643288574858,"M","M","MM","SG-001_2.SG-019"
"46","SG-001_2","SG-020",6.44888679839214e-09,5.87962411623379e-08,4.67907600078712e-07,"M","F","MF","SG-001_2.SG-020"
"47","SG-001_2","SG-021",0.389216547734301,0.553744544992355,0.726037614926157,"M","M","MM","SG-001_2.SG-021"
"48","SG-001_2","SG-022",1.45775398907716e-05,0.000362361670617595,0.00524409633456448,"M","M","MM","SG-001_2.SG-022"
"49","SG-001_2","SG-023",0.204990859950913,0.46622336786069,0.787078183234289,"M","M","MM","SG-001_2.SG-023"
"50","SG-001_2","SG-025",0.000783922943210765,0.03656998074885,0.39215185262905,"M","M","MM","SG-001_2.SG-025"
"51","SG-002","SG-001",0.0454805314089141,0.169508416161173,0.440065515360774,"M","M","MM","SG-002.SG-001"
