"individual.local.identifier","timestamp","COV.x.x","COV.y.y","COV.x.y","location.long","location.lat"
"SG-001","2017-10-12 09:06:00",1,1,0,-122.218978837582,44.2132676210673
"SG-002","2017-10-12 10:40:00",1,1,0,-122.219972915117,44.2166685991857
"SG-003","2017-10-12 12:05:00",1,1,0,-122.201036437059,44.231185815606
"SG-004","2017-10-13 09:29:00",1,1,0,-122.229199977385,44.2117975085092
"SG-001","2017-10-14 09:00:00",1,1,0,-122.222945423602,44.2133847037766
"SG-005","2017-10-14 09:49:00",1,1,0,-122.228931755044,44.216045183963
"SG-005","2017-10-17 09:00:00",1,1,0,-122.228045871482,44.2139054552329
"SG-001","2017-10-17 23:44:00",1,1,0,-122.212059513233,44.208349398208
"SG-006","2017-10-18 07:13:00",1,1,0,-122.215429858294,44.2128111499537
"SG-001","2017-10-18 09:00:00",1,1,0,-122.219972915117,44.2166685991857
"SG-006","2017-10-20 14:45:00",4799.84552494556,992.737132116005,-757.981592054456,-122.238929347516,44.2030990394451
"SG-001","2017-10-20 14:55:00",4.02291730182391,0.361535241638703,-0.702717428867802,-122.242418303997,44.2022340230812
"SG-005","2017-10-21 16:25:00",0.329013789307103,1.06220883360575,0.474955817451799,-122.239043705136,44.2207230084136
"SG-001","2017-10-23 22:36:00",101.45852611963,72.2293575991169,-64.2874962442763,-122.227903826416,44.2016620354477
"SG-005","2017-10-23 23:05:00",0.114809554349734,0.658903658285791,0.0759806200092654,-122.236095518245,44.2075894692413
"SG-004","2017-10-24 10:04:00",119.161990108409,87.1881021319265,21.2074167938368,-122.206869428052,44.2183330664667
"SG-006","2017-10-24 11:49:00",112.705955438498,146.97169596828,-31.767733916331,-122.24496213856,44.1933673002001
"SG-001","2017-10-24 14:21:00",1533792.45081422,176566.385378092,489621.327243936,-122.226872443264,44.202258099759
"SG-004","2017-10-24 20:21:00",131.333045052865,33.4380107142227,6.16005002439047,-122.204822245485,44.2185230436081
"SG-001","2017-10-24 23:13:00",0,0,0,-122.226754046091,44.2027304786551
"SG-007","2017-10-25 09:00:00",1,1,0,-122.222945423602,44.2133847037766
"SG-005","2017-10-25 11:50:00",109.682376657581,57.5297301831826,-73.5373251063504,-122.233094940026,44.199855474542
"SG-006","2017-10-25 14:19:00",1.75498906107961,9.32762220717623,-2.04222008420773,-122.247062229364,44.1944858229219
"SG-004","2017-10-25 15:39:00",10858.9317315165,63104.4229610396,15032.2961816193,-122.201704405743,44.2227877815226
"SG-004","2017-10-25 20:26:00",3902.06943684862,557.182091592876,893.147423091101,-122.193603456672,44.2173873150287
"SG-005","2017-10-25 22:17:00",10.672026458276,10.7932846820036,-8.40965895071442,-122.227128285666,44.2019240433348
"SG-001","2017-10-25 22:49:00",213.330907064503,818.998232339329,-132.330592456767,-122.23395309266,44.204405417842
"SG-003","2017-10-26 20:14:00",2056.46094491803,1336.91076671894,572.705698889725,-122.201951810986,44.2218413607483
"SG-005","2017-10-26 22:02:00",577.895858060078,230.530054076936,73.3086126617607,-122.223952980194,44.2053334455386
"SG-001","2017-10-26 22:12:00",2512.73991464906,578.497614637844,334.863097058702,-122.224300051521,44.2010786230156
"SG-006","2017-10-26 22:39:00",33.8533160855885,47.5354046600309,-32.4891178630651,-122.243701629363,44.1942951949135
"SG-005","2017-10-27 10:24:00",756.884059404051,2289.26151872859,611.984749184296,-122.225350202794,44.2042431350569
"SG-001","2017-10-27 10:43:00",305.621713480712,236.887881416727,228.440251406709,-122.22245244111,44.2026225063024
"SG-006","2017-10-27 12:01:00",5.83948466095389,63.8648950344573,15.9334882807996,-122.247563143637,44.1920614587179
"SG-004","2017-10-27 13:50:00",1921.71549816848,846.081804588925,143.242245647147,-122.205326365372,44.2164431935122
"SG-003","2017-10-27 14:32:00",16859.3348001819,318695.139349771,-67868.2414868047,-122.205941771332,44.2074828270263
"SG-004","2017-10-27 20:17:00",12.4835786096808,15.9283355160877,-0.354640530634901,-122.194969444812,44.2176898926808
"SG-007","2017-10-27 21:57:00",0,0,0,-122.205048854367,44.2101391543415
"SG-006","2017-10-27 22:43:00",68.2495340552173,275.105355903022,-63.0069715617012,-122.241743386431,44.1948699352763
