"animal","low","est","high","size","sex","Capture","RestSite","Telemetry","GPS","total","cluster","group","title"
"SG-001",9.28992554241317,11.8279178112335,14.667769089023,"homerange","M",3,12,70,0,85,"2","M2","homerange M2"
"SG-001",2.13673713717253,2.72049018340379,3.37367256485519,"corearea","M",3,12,70,0,85,"2","M2","corearea M2"
"SG-001_2",7.64404183753697,10.5698549965562,13.9624037189646,"homerange","M",8,24,60,0,92,"2","M2","homerange M2"
"SG-001_2",1.48241432150324,2.04981929143343,2.70773861204722,"corearea","M",8,24,60,0,92,"2","M2","corearea M2"
"SG-002",14.2910247233807,32.3570332405777,57.6784798351944,"homerange","M",1,2,17,0,20,"1","M1","homerange M1"
"SG-002",3.70383434361899,8.386039020561,14.9486505437093,"corearea","M",1,2,17,0,20,"1","M1","corearea M1"
"SG-003",16.1967614768051,22.9227297355695,30.7984679230977,"homerange","M",9,3,36,0,48,"2","M2","homerange M2"
"SG-003",2.75134779983965,3.89388965902823,5.23174321483939,"corearea","M",9,3,36,0,48,"2","M2","corearea M2"
"SG-004",7.49151476805248,12.4590934933922,18.6696197885661,"homerange","M",1,2,18,0,21,"2","M2","homerange M2"
"SG-004",1.55653086166482,2.58865718499728,3.87903385045397,"corearea","M",1,2,18,0,21,"2","M2","corearea M2"
"SG-005",8.45271077639976,11.2164735553006,14.365165900649,"homerange","F",2,5,51,0,58,"2","F1","homerange F1"
"SG-005",1.92187553329133,2.55026661457864,3.26617834283538,"corearea","F",2,5,51,0,58,"2","F1","corearea F1"
"SG-006",31.5604517211098,37.1324331403297,43.1506975880345,"homerange","M",14,28,124,0,166,"1","M1","homerange M1"
"SG-006",5.37026404681372,6.31838138523368,7.34243736115334,"corearea","M",14,28,124,0,166,"1","M1","corearea M1"
"SG-007",9.89173544590576,18.9915823276146,31.0098453219194,"homerange","F",1,5,24,0,30,"2","F1","homerange F1"
"SG-007",2.54539236193622,4.8870118759395,7.97961326997557,"corearea","F",1,5,24,0,30,"2","F1","corearea F1"
"SG-008",6.90666462185329,8.26521117561028,9.74392384067477,"homerange","F",11,19,109,0,139,"2","F1","homerange F1"
