"SiteName","Easting","Northing","Loc","Site","o","id.y","AGENCY","UNIT_NAME","YEAR","TREATMENT_","class","e","ht","mint","maxt","p","YrsSinceDist","hja","r.d","w.d","s.d","B1_20180717","B2_20180717","B3_20180717","B4_20180717","B5_20180717","B6_20180717","B7_20180717","B10_20180717","B11_20180717","NDVI_20180717","EVI_20180717","B_20180717","G_20180717","W_20180717","B1_20180726","B2_20180726","B3_20180726","B4_20180726","B5_20180726","B6_20180726","B7_20180726","B10_20180726","B11_20180726","NDVI_20180726","EVI_20180726","B_20180726","G_20180726","W_20180726","B1_20180802","B2_20180802","B3_20180802","B4_20180802","B5_20180802","B6_20180802","B7_20180802","B10_20180802","B11_20180802","NDVI_20180802","EVI_20180802","B_20180802","G_20180802","W_20180802","B1_20180818","B2_20180818","B3_20180818","B4_20180818","B5_20180818","B6_20180818","B7_20180818","B10_20180818","B11_20180818","NDVI_20180818","EVI_20180818","B_20180818","G_20180818","W_20180818","B2_s2","B3_s2","B4_s2","B8_s2","B11_s2","B12_s2","NDVI_s2","EVI_s2","B_s2","G_s2","W_s2","value.r100.o80","percentage_inside.r100.o80","value.r500.o80","percentage_inside.r500.o80","value.r1000.o80","percentage_inside.r1000.o80","value.r5000.o80","percentage_inside.r5000.o80","value.r100.o200","percentage_inside.r100.o200","value.r500.o200","percentage_inside.r500.o200","value.r1000.o200","percentage_inside.r1000.o200","value.r5000.o200","percentage_inside.r5000.o200","value.r100","percentage_inside.r100","value.r500","percentage_inside.r500","value.r1000","percentage_inside.r1000","value.r5000","percentage_inside.r5000","Cover_2m_max_all","Cover_4m_16m","Cover_4m_16m_all","p25","p25_all","p95","p95_all","rumple","slope","aspect","aspect.deg","tpi","tri","roughness","tpi.250m","tpi.500m","tpi.1000m","northness","eastness","abam_ba_2017","acma3_ba_2017","age_dom_2017","ba_ge_3_2017","bac_ge_3_2017","bah_ge_3_2017","bph_ge_3_crm_2017","bphc_ge_3_crm_2017","bphh_ge_3_crm_2017","cancov_2017","cancov_con_2017","cancov_hdw_2017","cancov_layers_2017","conplba_2017","covcl_2017","DBPH_GE_25_bio","DCOV_GE_25_bio","ddi_2017","DVPH_GE_25_bio","fortypba_2017","hdwplba_2017","mndbhba_2017","mndbhba_con_2017","mndbhba_hdw_2017","psme_ba_2017","qmd_dom_2017","qmd_ht25_2017","qmdc_dom_2017","qmdh_dom_2017","sbph_ge_25_2017","sdi_reineke_2017","sizecl_2017","stndhgt_2017","stph_ge_25_2017","struccond_2017","svph_ge_25_2017","tph_ge_3_2017","tphc_ge_3_2017","tphh_ge_3_2017","treeplba_2017","tshe_ba_2017","vegclass_2017","vph_ge_3_2017","vphc_ge_3_2017","vphh_ge_3_2017"
"1","114121",568326,4906313,"WNF","BP-114121",10,3,"USFS","WIL",1978,"Clearcut",2,1067.49971542969,29.5263671875,2.40000009536743,13.5,2299.580078125,28,0,36.7724794087417,1248.3916945502,630.53530168464,125,201,503,501,3101,1597,861,3029,3024,721,1412,3004,1916,-855,274,337,620,662,3441,1839,1052,3037,3025,677,1421,3484,2024,-1004,138,202,476,471,3080,1607,885,2969,2959,734,1485,2973,1918,-894,88,192,491,519,3059,1539,827,3000,2996,709,1341,2957,1883,-798,869,799,719,2919,1818,1026,591,5139,3605,694,-1166,0.09,2.86671310765284,19.53,24.8830697744303,99.36,31.6485127084825,4017.42,51.1857358797592,0.09,2.86671310765284,13.5,17.2002786459195,65.07,20.7263357683269,3004.65,38.2820868395932,3.15,100.334958767839,57.06,72.6998444100683,178.92,56.9902565801342,2839.59,36.1790661038196,0.835472822189331,0.649097800254822,0.63831639289856,7.8899998664856,6.23999977111816,19.2999992370605,18.6100006103516,4.61304044723511,1.11138665676117,2.45766401290894,140.813781738281,-0.16888427734375,1.38714599609375,5.1318359375,-23.164489453125,-27.8455619533352,-105.801546053236,-0.775096422645902,0.631842967517662,0,0,1964,999,984,15,40520,39969,551,6094,6053,94,1,44,3,7642.197265625,1.97239995002747,188,41.1665992736816,661,32,535,536,49,643,99,62,99,46,2621,118,2,574,1,3,9,1824,1788,36,74,39,8,72,71,1
"2","123545",559057,4906847,"WNF","BP-123545",34,4,NA,NA,NA,NA,NA,1238.19991933594,11.5810546875,2.6800000667572,13.1099996566772,2321.89990234375,200,0,32.6965199101477,922.5515241381,721.479924971634,-25,34,302,146,3882,1478,589,2981,2971,927,2073,3039,2834,-639,142,163,386,205,4211,1459,581,2990,2980,907,2373,3314,3023,-529,4,48,275,139,3477,1284,523,2932,2928,923,2111,2718,2531,-538,-67,2,264,138,3512,1346,541,2968,2960,924,1949,2747,2567,-590,683,635,310,3560,1718,687,837,14679,3645,1511,-951,2.16,68.8011145836683,57.24,72.9291814586988,202.86,64.6157134464851,4410.54,56.1944570214499,0.9,28.6671310765284,33.75,43.0006966147989,128.79,41.0226645705059,3139.02,39.9940879074834,0,0,1.62,2.06403343750982,55.44,17.6589527431402,1356.12,17.2782532424441,0.43002125620842,0.120669923722744,0.129035368561745,2.95000004768372,3.00999999046326,26.8689994812012,26.6359996795654,3.48534250259399,0.487577468156815,2.20990133285522,126.618019104004,0.053314208984375,0.376495361328125,1.289306640625,5.39027539062499,-25.6050731126552,-65.3437438731498,-0.596477331434902,0.802629922868751,0,0,471,1397,960,437,39231,26698,12533,6022,4125,3456,3,44,3,0,0,258,0,704,38,281,335,150,837,177,128,230,138,62,141,2,850,0,3,0,1230,620,610,74,0,5,64,46,19
"3","124031",568807,4905934,"WNF","BP-124031",27,5,NA,NA,NA,NA,NA,1008.41435449219,199.280029296875,2.20000004768372,13.4099998474121,2325.080078125,200,0,17.6408690790578,789.595672202546,282.523714383836,-2,55,248,183,2072,800,361,3003,2998,837,1711,1738,1423,-326,145,182,350,235,2441,987,447,3008,2997,824,2217,2125,1629,-406,32,72,228,162,1952,664,298,2948,2940,846,1876,1595,1350,-224,-68,-4,187,129,2047,728,322,2973,2965,881,1681,1624,1462,-288,688,595,353,1859,881,360,691,-2540,2300,475,-318,1.44,45.8674097224455,32.22,41.0513317015946,95.4,30.3871589411155,4112.19,52.3931954407025,1.17,37.267270399487,21.96,27.9791199306958,65.52,20.8696714237095,3070.8,39.1249004932431,0,0,35.91,45.7527411981344,185.67,59.1402914108737,2994.75,38.1559514628569,0.868211328983307,0.189632743597031,0.204988196492195,16.0799999237061,14.9624996185303,61.1100006103516,60.5475006103516,9.4019832611084,0.487167626619339,2.78224968910217,159.411163330078,0.026702880859375,0.397186279296875,1.213134765625,-11.32972421875,-46.9169111827482,-128.868847900367,-0.936128078331346,0.351659239832626,0,0,829,3634,3631,3,239109,238988,121,7009,7005,17,2,44,3,286.468688964844,0.204899996519089,429,1.63230001926422,661,32,410,410,6,2225,398,188,400,6,25056,268,3,2791,32,4,99,491,487,4,74,34,9,408,408,0
"4","128101",562056,4898860,"WNF","BP-128101",15,6,"USFS","WIL",1976,"Clearcut",2,801.760921875,46.916259765625,4,14.9899997711182,2043.58996582031,42,0,85.261392302477,2580.24093836328,998.743696031574,-4,42,235,111,2223,633,227,3005,2998,904,2050,1693,1604,-131,146,151,310,153,2487,732,274,3008,2996,884,2566,1963,1747,-154,36,62,234,119,2170,615,225,2946,2938,896,2118,1665,1555,-123,-47,-6,166,76,1977,527,188,2968,2960,925,1917,1452,1459,-101,703,626,315,2259,724,252,766,-4244,2583,811,-97,0.54,17.2002786459171,39.24,49.9954765974728,176.49,56.2162440410636,4921.83,62.7087758872798,0.45,14.3335655382642,24.84,31.648512708492,125.82,40.0766492449806,3623.31,46.1644012003949,2.52,80.2679670142715,42.75,54.4675490453981,161.55,51.4575002823646,2798.82,35.6596176887129,0.815191924571991,0.7084019780159,0.627453863620758,8.03750038146973,6.34000015258789,18.308500289917,17.7199993133545,3.6432991027832,1.1904376745224,5.08618402481079,291.416900634766,0.225982666015625,1.84060668945312,5.8232421875,36.5401074218748,75.1351123591289,213.536146418416,0.365151043112994,-0.930948288420733,0,382,612,4623,4370,252,265049,253948,11102,8690,8427,2068,3,44,4,14024.9248046875,2.45919990539551,316,79.9141006469727,661,5,329,339,118,4353,319,147,340,130,1717,378,3,2409,4,4,6,1043,830,213,74,130,9,460,440,20
"5","129276",566396,4905680,"WNF","BP-129276",26,7,"USFS","WIL",1963,"Clearcut",2,847.116516210939,83.303466796875,3.44000005722046,14.1199998855591,2242.13989257812,55,0,22.5587176753102,1933.87514904802,208.171848273059,-5,29,205,105,2439,646,232,3010,3001,917,2045,1804,1788,-117,128,145,280,149,2724,746,273,3016,3006,896,2542,2088,1947,-132,47,85,233,142,2404,643,242,2952,2944,888,2158,1829,1724,-108,-60,-7,150,71,2238,552,188,2977,2970,938,1993,1600,1673,-81,711,608,324,2372,745,270,744,-3444,2611,775,-83,1.26,40.1339835071398,34.02,43.3447021877172,147.96,47.1287634898055,4014.36,51.1467485814952,1.26,40.1339835071398,25.65,32.6805294272471,111.24,35.4325740105837,2928.06,37.3062576977483,2.7,86.0013932295766,47.97,61.118323455152,136.71,43.5453721052434,2938.41,37.4381265007006,0.875935614109039,0.165840551257133,0.212785020470619,19.4599990844727,15.4499998092651,33.6699981689453,32.5,4.36160755157471,0.467887789011002,4.09016847610474,234.349395751953,0.0736083984375,0.384033203125,1.40380859375,-24.6989878906252,-28.2096106365339,-65.5208511075812,-0.582840947211763,-0.812586260192291,0,0,1749,6435,5699,736,369840,347885,21956,8990,8675,2914,3,44,4,61414.265625,6.30170011520386,751,189.40119934082,721,9,600,660,127,2904,342,234,457,105,43911,544,3,2121,27,4,172,1836,1303,533,74,2156,9,660,618,42
"6","130101",561766,4899702,"WNF","BP-130101",30,8,NA,NA,NA,NA,NA,752.164916601561,116.041015625,3.44000005722046,15.0699996948242,2030.88000488281,200,0,34.6181008878852,3447.50499642982,552.710794540882,16,50,229,127,2312,619,223,3005,2997,895,2023,1747,1668,-101,156,169,320,167,2611,779,273,3010,2998,879,2603,2065,1833,-158,45,79,227,120,2201,586,210,2944,2938,896,2233,1671,1581,-90,-45,2,171,84,2145,545,199,2963,2958,924,1955,1565,1584,-89,703,585,312,2024,687,249,737,-2858,2328,626,-92,1.26,40.1339835071398,50.67,64.5583791843513,170.1,54.1808777346304,4969.35,63.314225695616,0.81,25.8004179688756,39.06,49.7661395488605,129.78,41.3380030123476,3680.01,46.8868129035234,1.44,45.8674097224409,24.03,30.6164959897291,142.47,45.3800684941411,2723.94,34.7055755664861,0.851109027862549,0.219733521342278,0.204555109143257,14.2600002288818,13.9750003814697,46.6500015258789,45.9700012207031,6.58225631713867,1.05389297008514,4.68812990188599,268.610046386719,0.40484619140625,1.232666015625,3.372802734375,51.462588671875,78.352870966095,234.740873446173,-0.0242566991457515,-0.999705762985566,0,585,1978,6363,5852,511,502770,466271,36499,8997,8631,2868,3,44,4,178150.28125,13.0705003738403,679,576.73388671875,721,5,627,657,252,3017,513,271,544,260,78145,501,4,3596,76,4,304,1220,1130,90,74,2685,9,874,806,68
"7","130102",561544,4898481,"WNF","BP-130102",47,9,NA,NA,NA,NA,NA,780.249379101561,154.066650390625,3.20000004768372,15.3599996566772,2059.080078125,200,0,34.6673179689932,2631.72118982178,810.369968451367,12,45,223,125,2185,688,259,3009,3000,891,1981,1699,1565,-192,165,179,324,187,2543,833,315,3014,3003,863,2534,2067,1761,-224,43,77,202,120,2032,579,219,2945,2938,888,2197,1563,1453,-123,-49,-1,158,86,2004,589,219,2969,2964,917,1896,1497,1472,-156,718,607,339,2075,818,300,707,-3273,2439,616,-223,2.88,91.734819444891,46.8,59.6276326391877,196.83,62.695015664358,4917.42,62.6525883103698,0.9,28.6671310765285,24.48,31.1898386112674,131.4,41.8540113717251,3553.83,45.2791601927518,0.9,28.6671310765255,34.11,43.4593707120124,120.87,38.4999570357748,2742.75,34.9452327822859,0.973801910877228,0.0228697266429663,0.117827475070953,32.0349998474121,23.3675003051758,55.7150001525879,52.8899993896484,5.66058683395386,0.958857476711273,2.7172372341156,155.686218261719,0.076690673828125,1.02072143554688,3.474365234375,12.385144140625,92.9058111851509,250.026047789528,-0.9113043176209,0.411733458302219,0,85,1945,8381,8325,56,622804,620262,2542,8505,8464,336,3,44,4,38129.828125,2.44470000267029,659,98.8482971191406,661,5,680,683,179,9348,664,355,664,1,7431,500,5,3870,24,5,26,391,381,10,74,0,10,1062,1057,5
"8","131067",560734,4904283,"WNF","BP-131067",3,10,"USFS","WIL",1985,"Clearcut",1,983.223929296875,30.75146484375,3.77999997138977,14.1300001144409,2205.7900390625,32,0,41.2297397812024,3442.32112495855,521.924851369938,2,54,260,120,2850,709,247,3015,3001,919,2155,2099,2085,-87,146,159,358,179,3170,879,319,3022,3011,893,2449,2448,2255,-154,30,65,259,135,2701,711,265,2960,2949,904,2121,2029,1956,-118,-50,-4,180,86,2458,596,201,2986,2982,932,1973,1765,1829,-73,693,646,319,2543,764,279,778,-7312,2702,1010,-75,0.27,8.60013932295854,36.99,47.1287634898195,171.27,54.5535504386252,4604.4,58.6644170350034,0,0,26.37,33.5978776216962,123.66,39.388638099144,3348.45,42.6624244680864,3.15,100.334958767839,15.75,20.0669917535677,72.27,23.0197062544506,2458.17,31.3194140437268,0.70999675989151,0,NA,4.65999984741211,4.55999994277954,11.8280000686646,11.7930002212524,4.5465931892395,1.20161402225494,1.1721773147583,67.1608123779297,0.063140869140625,1.86813354492188,6.14892578125,24.7088148437501,-3.02740250895067,26.9481016528712,0.388145997231469,0.921597897585052,0,0,618,3319,3314,5,175271,175085,186,8129,8124,25,3,44,4,13716.58203125,2.04929995536804,309,43.3460998535156,719,32,301,301,32,1686,305,136,305,1,5443,286,3,2257,16,4,24,1217,1213,4,74,375,9,313,313,0
"9","134101",559839,4897166,"WNF","BP-134101",4,11,"USFS","WIL",1972,"Clearcut",2,674.262174023439,79.0126953125,3.94000005722046,15.9399995803833,2047.56005859375,1,0,61.2095882458739,2087.97799345789,381.922397788595,70,123,338,289,2076,1203,605,3024,3011,755,1546,2032,1303,-695,211,223,412,306,2274,1278,623,3025,3012,762,2017,2234,1412,-702,95,133,341,262,2054,1074,520,2965,2956,773,1703,1948,1308,-566,13,62,270,235,1929,1051,540,2978,2972,782,1473,1814,1251,-608,834,793,683,2071,1636,878,509,-1698,2888,250,-1033,0.45,14.3335655382642,34.29,43.6887077606356,163.53,52.0881771660441,4576.5,58.3089446096545,0.09,2.86671310765284,17.01,21.6723510938586,92.97,29.6131464020493,3062.34,39.0171120803954,3.06,97.4682456601868,48.78,62.1503401739069,162.54,51.7728387242064,2812.14,35.829327104686,0.908928990364075,0.344067007303238,0.457693159580231,13.0524997711182,8.5600004196167,24.1655006408691,23.1800003051758,3.35391640663147,0.675395727157593,4.74443817138672,271.836273193359,0.014984130859375,0.556976318359375,1.55810546875,72.3141109375001,143.785327786713,282.145246775171,0.0320437047259358,-0.999486468636488,0,0,146,391,367,23,10719,9648,1070,2540,2516,76,0,44,1,10402.6748046875,1.7930999994278,48,59.2745018005371,874,32,82,82,40,22,70,37,70,43,5564,43,2,531,2,1,27,563,551,13,74,0,1,20,18,2
"10","135431",568425,4905520,"WNF","BP-135431",2,12,"USFS","WIL",1962,"Clearcut",2,1016.82425976563,8.8974609375,2.44000005722046,13.539999961853,2256.27001953125,56,0,81.4058856288342,503.675512290892,154.709509076651,-26,23,224,140,2633,843,352,3009,3003,899,1887,2031,1903,-279,115,139,288,171,2907,929,368,3011,2998,888,2365,2286,2066,-278,4,43,204,130,2472,756,311,2953,2944,900,1997,1892,1789,-227,-76,-20,169,102,2405,759,306,2978,2970,918,1817,1810,1770,-254,689,601,359,2475,1106,496,751,-10468,2761,878,-495,0.18,5.73342621530569,15.12,19.2643120834299,95.22,30.3298246789624,4083.12,52.0228161071938,0,0,6.75,8.60013932295977,61.02,19.4363148698833,3012.48,38.3818484557395,3.24,103.201671875492,58.14,74.0758667017415,159.84,50.9128247919107,3077.64,39.2120485717161,0.862845599651337,0.534715592861176,0.546607613563538,8.88000011444092,6.5,23.0200004577637,21.8099994659424,4.73197555541992,0.59655886888504,5.57074022293091,319.179901123047,0.094451904296875,0.471282958984375,1.843994140625,5.83327617187479,-12.5894544015523,-50.4622840907523,0.756765822184073,-0.653686079379134,109,0,613,1711,1643,68,75367,72840,2526,5738,5609,375,1,44,3,31029.041015625,2.80649995803833,281,93.1686019897461,661,32,327,329,49,1443,302,141,306,46,4729,140,3,1819,19,4,14,446,421,25,74,0,9,130,125,4
