"week","month","num","season"
"2",1,5,5,"summer"
"3",2,5,7,"summer"
"4",3,5,7,"summer"
"5",4,5,7,"summer"
"6",5,5,5,"summer"
"8",6,6,7,"summer"
"9",7,6,7,"summer"
"10",8,6,7,"summer"
"11",9,6,7,"summer"
"12",10,7,7,"summer"
"13",11,7,7,"summer"
"14",12,7,7,"summer"
"15",13,7,7,"summer"
"17",14,8,4,"summer"
"18",15,8,7,"summer"
"19",16,8,7,"summer"
"20",17,8,7,"summer"
"21",18,8,6,"summer"
"23",19,9,7,"fall"
"24",20,9,7,"fall"
"25",21,9,7,"fall"
"26",22,9,7,"fall"
"28",23,10,6,"fall"
"29",24,10,7,"fall"
"30",25,10,7,"fall"
"31",26,10,7,"fall"
"32",27,10,4,"fall"
"34",28,11,7,"fall"
"35",29,11,7,"fall"
"36",30,11,7,"fall"
"37",31,11,6,"fall"
"39",32,12,7,"winter"
"40",33,12,7,"winter"
"41",34,12,7,"winter"
"42",35,12,7,"winter"
"43",36,1,5,"winter"
"45",37,1,7,"winter"
"46",38,1,7,"winter"
"47",39,1,7,"winter"
"48",40,1,5,"winter"
"50",41,2,7,"spring"
"51",42,2,7,"spring"
"52",43,2,7,"spring"
"53",44,2,5,"spring"
"55",45,3,7,"spring"
"56",46,3,7,"spring"
"57",47,3,7,"spring"
"58",48,3,7,"spring"
"60",49,4,6,"spring"
"61",50,4,7,"spring"
"62",51,4,7,"spring"
"63",52,4,7,"spring"
"65",53,5,4,"summer"
"66",54,5,7,"summer"
"67",55,5,7,"summer"
"68",56,5,7,"summer"
"69",57,5,6,"summer"
"71",58,6,7,"summer"
"72",59,6,7,"summer"
"73",60,6,7,"summer"
"74",61,6,7,"summer"
"76",62,7,6,"summer"
"77",63,7,7,"summer"
"78",64,7,7,"summer"
"79",65,7,7,"summer"
"80",66,7,4,"summer"
"82",67,8,7,"summer"
"83",68,8,7,"summer"
"84",69,8,7,"summer"
"85",70,8,7,"summer"
"86",71,9,7,"fall"
"87",72,9,7,"fall"
"88",73,9,7,"fall"
"89",74,9,7,"fall"
"91",75,10,5,"fall"
"92",76,10,7,"fall"
"93",77,10,7,"fall"
"94",78,10,7,"fall"
"95",79,10,5,"fall"
"97",80,11,7,"fall"
"98",81,11,7,"fall"
"99",82,11,7,"fall"
"100",83,11,7,"fall"
"101",84,12,7,"winter"
"102",85,12,7,"winter"
"103",86,12,7,"winter"
"104",87,12,7,"winter"
"105",88,1,4,"winter"
"107",89,1,7,"winter"
"108",90,1,7,"winter"
"109",91,1,7,"winter"
"110",92,1,6,"winter"
"112",93,2,7,"spring"
"113",94,2,7,"spring"
"114",95,2,7,"spring"
"115",96,2,6,"spring"
"117",97,3,7,"spring"
"118",98,3,7,"spring"
"119",99,3,7,"spring"
"120",100,3,7,"spring"
"122",101,4,5,"spring"
"123",102,4,7,"spring"
"124",103,4,7,"spring"
"125",104,4,7,"spring"
"126",105,4,4,"spring"
"128",106,5,7,"summer"
"129",107,5,7,"summer"
"130",108,5,7,"summer"
"131",109,5,7,"summer"
"132",110,6,7,"summer"
"133",111,6,7,"summer"
"134",112,6,7,"summer"
"135",113,6,7,"summer"
"137",114,7,5,"summer"
"138",115,7,7,"summer"
"139",116,7,7,"summer"
"140",117,7,7,"summer"
"141",118,7,5,"summer"
"143",119,8,7,"summer"
"144",120,8,7,"summer"
"145",121,8,1,"summer"
