"animal1","animal2","overlap.low","overlap","overlap.high","s1","s2","sexes","animals"
"1","SG-001","SG-007",0.637690785229383,0.829097288223992,0.961705356902801,"M","F","MF","SG-001.SG-007"
"2","SG-001","SG-006",0.697407604428252,0.765599097360599,0.828927507881847,"M","M","MM","SG-001.SG-006"
"3","SG-001_2","SG-009",0.888263183732481,0.954325128705954,0.99190720299531,"M","F","MF","SG-001_2.SG-009"
"4","SG-001_2","SG-003",0.689336562175157,0.779765961745515,0.860668681345495,"M","M","MM","SG-001_2.SG-003"
"5","SG-002","SG-016",0.320457412403563,0.64517132903085,0.932554738448652,"M","F","MF","SG-002.SG-016"
"6","SG-002","SG-013",0.726668975669339,0.935037663429883,0.999859079920246,"M","M","MM","SG-002.SG-013"
"7","SG-003","SG-009",0.74974400196322,0.825768581559819,0.891918629619411,"M","F","MF","SG-003.SG-009"
"8","SG-003","SG-001_2",0.689336562175157,0.779765961745515,0.860668681345495,"M","M","MM","SG-003.SG-001_2"
"9","SG-004","SG-016",0.371896167443003,0.554021160251296,0.745419870941542,"M","F","MF","SG-004.SG-016"
"10","SG-004","SG-003",0.605113657045105,0.769131207957457,0.904962755438704,"M","M","MM","SG-004.SG-003"
"11","SG-005","SG-016",0.691509403311372,0.849735051717751,0.960370417865778,"F","F","FF","SG-005.SG-016"
"12","SG-005","SG-014",0.755668297918534,0.837253058475501,0.906437991729278,"F","M","MF","SG-005.SG-014"
"13","SG-006","SG-016",0.86150040616568,0.943145240795883,0.990049181987566,"M","F","MF","SG-006.SG-016"
"14","SG-006","SG-014",0.717374576931097,0.831010014969057,0.922483896486141,"M","M","MM","SG-006.SG-014"
"15","SG-007","SG-016",0.885351670007365,0.98904762635642,1,"F","F","FF","SG-007.SG-016"
"16","SG-007","SG-006",0.80717789430611,0.902546733841029,0.968802639818246,"F","M","MF","SG-007.SG-006"
"17","SG-008","SG-015",0.697821498316134,0.76949816053057,0.835628212813941,"F","F","FF","SG-008.SG-015"
"18","SG-008","SG-010",0.79344686095451,0.87179734939495,0.934813178529973,"F","M","MF","SG-008.SG-010"
"19","SG-009","SG-005",0.472564576182474,0.561746234734381,0.652967936227297,"F","F","FF","SG-009.SG-005"
"20","SG-009","SG-001_2",0.888263183732481,0.954325128705954,0.99190720299531,"F","M","MF","SG-009.SG-001_2"
"21","SG-010","SG-008",0.79344686095451,0.87179734939495,0.934813178529973,"M","F","MF","SG-010.SG-008"
"22","SG-010","SG-021",0.616742495810032,0.794390264039291,0.932162136628333,"M","M","MM","SG-010.SG-021"
"23","SG-011","SG-016",0.67667339637179,0.842524406623953,0.959057641826077,"M","F","MF","SG-011.SG-016"
"24","SG-011","SG-014",0.833186340489073,0.943706885446179,0.996068012759258,"M","M","MM","SG-011.SG-014"
"25","SG-012","SG-016",0.24066585754651,0.478910337703324,0.760799618132058,"M","F","MF","SG-012.SG-016"
"26","SG-012","SG-013",0.524446386199199,0.737487885733193,0.913283276960711,"M","M","MM","SG-012.SG-013"
"27","SG-013","SG-016",0.254254812663051,0.489433467960088,0.762677414466816,"M","F","MF","SG-013.SG-016"
"28","SG-013","SG-002",0.726668975669339,0.935037663429883,0.999859079920246,"M","M","MM","SG-013.SG-002"
"29","SG-014","SG-016",0.684627988288673,0.839911754837974,0.952433274936251,"M","F","MF","SG-014.SG-016"
"30","SG-014","SG-011",0.833186340489073,0.943706885446179,0.996068012759258,"M","M","MM","SG-014.SG-011"
"31","SG-015","SG-008",0.697821498316134,0.76949816053057,0.835628212813941,"F","F","FF","SG-015.SG-008"
