"","SG-001.spring","SG-001_2.spring","SG-003.spring","SG-005.spring","SG-006.spring","SG-008.spring","SG-009.spring","SG-010.spring","SG-011.spring","SG-001_2.summer","SG-006.summer","SG-008.summer","SG-009.summer","SG-010.summer","SG-011.summer","SG-013.summer","SG-015.summer","SG-025.summer","SG-001.fall","SG-001_2.fall","SG-002.fall","SG-003.fall","SG-004.fall","SG-005.fall","SG-006.fall","SG-007.fall","SG-008.fall","SG-009.fall","SG-010.fall","SG-011.fall","SG-012.fall","SG-013.fall","SG-014.fall","SG-015.fall","SG-016.fall","SG-017.fall","SG-018.fall","SG-019.fall","SG-020.fall","SG-021.fall","SG-022.fall"
"SG-001.spring",1,0.00835729240958708,0.282578490058036,0.383427987706641,0.626126595714433,0,0.0206459098222832,0.135281055222877,0.445187936351861,0.0327991315300686,0.465902805759609,0,0.0770674228933601,0,0.102284870707878,0.908352056055816,0,0,0.760843858767103,0.612273534538788,0.103142333102511,0.115478186861298,0.130783986022509,0.456412542827232,0.508739853825713,0.753749408106928,0,0.0901321762409941,0.64426359210986,0.485885137684596,0.0509015395509982,0.00527718172001676,0.356182544269709,0,0.613702439966175,0,0,0,0,0.0744840742779562,0
"SG-001_2.spring",0.00835729240958708,1,0.803698890307116,0.74668337432856,0.420520542519794,0.178805014372895,0.880435742597507,0.468371188130893,0.697967539625765,0.806358364295555,0.48082245700631,0.0900685307702666,0.816823337121813,0.0498202720830252,0.852850963525577,0.821544944574773,0.017013183327762,0.0370180543285498,0.0440001602421861,0.734881228160082,0.185855752503574,0.619315232242879,0.278106626076213,0.434449961026048,0.401156343892614,0.394417811873785,0.247505925573698,0.683049873430625,0.72950728295579,0.605120707915044,6.64338889587673e-07,0.0483481413684201,0.67543220982944,0.0132511611969611,0.539172530407631,0.0049834116482276,0.00470507653711219,0.0124796030191958,0.000632573110458719,0.571912537821585,0.00250311481703274
"SG-003.spring",0.282578490058036,0.803698890307116,1,0.843457070918972,0.674982556109538,0.128494717050034,0.705644213409632,0.529971699434544,0.814231050546005,0.729705318252324,0.622912174695186,0.122934632248058,0.825559652968119,0.108563416067135,0.817792468655006,0.949873322701577,0.0892900460543954,0.0513640138224374,0.306046290077001,0.896514977910746,0.418352561920213,0.894929176361483,0.651930132433819,0.635676802042724,0.674628869173364,0.681282713391866,0.182112258728393,0.734846789267688,0.655780724885781,0.798256514093982,0.10475637177396,0.308030616483435,0.862329906478666,0.125156591385615,0.808810148411438,0.0332716766950159,0.0185604450085293,0.101497849918278,0.0783306945178369,0.59353013935856,0.0216769600646049
"SG-005.spring",0.383427987706641,0.74668337432856,0.843457070918972,1,0.847294135340499,0.000113088573140217,0.762709989607731,0.291992241894629,0.921233707923263,0.575947771544592,0.755564956702012,0,0.703953544028878,0.00014743279891051,0.834714448036263,0.946599828401883,0,0.00110670745827983,0.440454873656509,0.792138909186441,0.260225566711935,0.631973945483486,0.445270131601591,0.942314501048181,0.745290165506566,0.859970620621108,0.000746026784871805,0.725097148088584,0.670287512983066,0.963961965160132,0.111600125443871,0.119951186895544,0.991224356645311,6.43939915035171e-05,0.884675131889957,5.58263285623084e-05,0,0,7.79922596067901e-05,0.289951449233776,5.88005048018466e-05
"SG-006.spring",0.626126595714433,0.420520542519794,0.674982556109538,0.847294135340499,1,0.015399139157176,0.428630598494362,0.234918513914441,0.905701225254548,0.381891424226617,0.903742843818646,0.00410209568560441,0.499024590005938,0.00276160805098517,0.609123537403367,0.88773028960328,0.00041430768634691,0.00373692977992829,0.808983942035304,0.762780149861815,0.280626139456852,0.53262438337744,0.491744181488018,0.799652949124148,0.943868532434334,0.975934315191787,0.020456014800067,0.516694367867149,0.392024254281837,0.883927499467621,0.0852827716293577,0.115760595504378,0.896455197758088,0.000701668415019965,0.986957885670857,0.000503231116339093,1.50894829247434e-05,0.00053643468426055,4.62439708652545e-05,0.284541368183692,0.000286593070930244
"SG-008.spring",0,0.178805014372895,0.128494717050034,0.000113088573140217,0.015399139157176,1,0.00128018128023005,0.726750674534115,0.0388808595417407,0.00865569550861274,0.0993060504141435,0.842756025690906,0.0186608932682824,0.691871116247094,0.143816637049398,0.838808155859617,0.776105580064981,0.507397078691707,0,0.669992801694155,0.040424232524263,0.00568749671277511,0.00241916825873448,9.12762476114602e-08,0.0167623999205205,0.000625790883188833,0.860025173631412,0.00150747817932616,0.758179773627027,0.00868882929536079,0,0.00134774893009559,0.010205514861978,0.607236408549262,0.145045650471077,0.242618086633987,0.489818543742743,0.627190385664344,0.344347699715269,0.754418611555301,0.359788996770645
"SG-009.spring",0.0206459098222832,0.880435742597507,0.705644213409632,0.762709989607731,0.428630598494362,0.00128018128023005,1,0.431747578897364,0.664979151610193,0.919710612579373,0.425897898543279,4.9361746204435e-06,0.917592904294253,3.58314563114952e-05,0.652796266624489,0.927510111182212,0,0.00260841306878778,0.0668487210141313,0.685061164144427,0.186141633759967,0.673949023942137,0.347740455196044,0.498316195367778,0.457371643685933,0.432413038072959,0.00242878659679686,0.872279068593143,0.863475247209738,0.70474177200224,1.1496974775089e-05,0.0109937527271249,0.71041728185663,8.76568399399096e-15,0.475141074058305,1.63688458200601e-06,0,0,0,0.371905393356262,1.82012825506316e-06
"SG-010.spring",0.135281055222877,0.468371188130893,0.529971699434544,0.291992241894629,0.234918513914441,0.726750674534115,0.431747578897364,1,0.314017312516212,0.513994999444314,0.274484954454325,0.59103938215919,0.50689504536451,0.546074084643987,0.382871408543188,0.76311105155579,0.788242773709813,0.852200435740622,0.108943913455433,0.822456911835397,0.31780374919392,0.458509350401637,0.365781050282575,0.272349659255184,0.26506227825431,0.263739497332139,0.716984552740026,0.471930650980666,0.951680354674406,0.367254207497034,0.0450449131183862,0.245569795607146,0.343668691873561,0.470150102133204,0.379165633946674,0.576364040162513,0.784870536921177,0.816247178012059,0.506952842022103,0.919278235830547,0.705085932140949
"SG-011.spring",0.445187936351861,0.697967539625765,0.814231050546005,0.921233707923263,0.905701225254548,0.0388808595417407,0.664979151610193,0.314017312516212,1,0.600246180825716,0.949433234604599,0.0222501746233487,0.711795141226304,0.0176584505252754,0.90547090690703,0.879657482262994,0.0070225549100613,0.00901875196296234,0.664969885054394,0.789352938652775,0.28641359627233,0.667746185919918,0.546210030859783,0.863528440717236,0.906473088499196,0.847253616943435,0.055307606701623,0.684451285766476,0.515858336667418,0.920546811337578,0.0323569695270396,0.0812194298596586,0.970349975098191,0.0141256482979538,0.90839201398601,0.00421537501752627,0.000878998283688602,0.00875208106558589,0.00655885706321581,0.39335495101726,0.00225659280374306
"SG-001_2.summer",0.0327991315300686,0.806358364295555,0.729705318252324,0.575947771544592,0.381891424226617,0.00865569550861274,0.919710612579373,0.513994999444314,0.600246180825716,1,0.384566950517996,0.000686895571369007,0.953766182897084,0.000850891676447986,0.530822408847436,0.90649087539257,1.62400209044115e-08,0.0162951451507062,0.0730617221801833,0.634022158656459,0.209909369789628,0.743863598628229,0.416360821530723,0.356571069396086,0.470333222041917,0.402010638871513,0.0144633067481103,0.848855528262187,0.893320606307085,0.634786875257446,1.88351626366787e-05,0.026171605716069,0.619784138598713,1.14947624909846e-07,0.453137096573221,2.35820073681363e-05,0,2.03837151382356e-06,0,0.461302074518985,2.35302754365291e-05
